Date ,Year,Name ,Caption ,URL 
20-Apr,2008,Galactic Center,This infrared image of the center of our Milky Way galaxy reveals a population of massive stars and complex structures in the hot ionized gas that swirls around the galactic core.,https://hubblesite.org/contents/media/images/2009/02/2453-Image.html
21-Apr,2014,Jupiter,"This image of Jupiter was taken by the Outer Planet Atmospheres Legacy (OPAL) program, a long-term project that uses Hubble to capture global maps of the outer planets every year. The Great Red Spot appears in the lower right.",https://hubblesite.org/contents/media/images/2016/24/3758-Image.html
22-Apr,2000,30 Doradus Nebula,"This is the inner part of the 30 Doradus Nebula, a turbulent star-birth region in the Large Magellanic Cloud, a satellite galaxy of our Milky Way. The bright cluster of stars at left is known as R136.",https://hubblesite.org/contents/media/images/2001/21/1080-Image.html
23-Apr,2008,Galactic Center,This infrared image of the center of our Milky Way galaxy reveals a population of massive stars and complex structures in the hot ionized gas that swirls around the galactic core.,https://hubblesite.org/contents/media/images/2009/02/2453-Image.html
24-Apr,1991,Cygnus Loop Supernova Remnant ,"This image captures a small portion of the Cygnus Loop supernova remnant. The Cygnus Loop marks the edge of a bubble-like, expanding blast wave from a colossal stellar explosion that occurred about 15,000 years ago.",https://hubblesite.org/contents/media/images/1993/01/90-Image.html?news=true
25-Apr,2006,Two Red Spots on Jupiter,"This image captures a second ""red spot"" (lower left) that emerged alongside the bigger and more famous Great Red Spot (right) on Jupiter. The new storm is roughly one-half the size of the Great Red Spot.  ",https://hubblesite.org/contents/media/images/2006/19/1913-Image.html
26-Apr,2008,Galactic Center,This infrared image of the center of our Milky Way galaxy reveals a population of massive stars and complex structures in the hot ionized gas that swirls around the galactic core.,https://hubblesite.org/contents/media/images/2009/02/2453-Image.html
27-Apr,1999,Supernova Remnant N 49,N 49 is a supernova remnant in a neighboring galaxy called the Large Magellanic Cloud. The delicate filaments are sheets of debris from a stellar explosion whose light would have reached Earth thousands of years ago. ,https://hubblesite.org/contents/media/images/2003/20/1379-Image.html
28-Apr,2004,Galaxy Cluster SDSS J1004+4112,"This picture captures a galaxy cluster called SDSS J1004+4112 that's so massive that its gravity bends light from galaxies behind it. The light of a distant quasar (the brilliant core of an active galaxy) has been bent around the cluster, appearing in five places in this image.",https://hubblesite.org/contents/media/images/2006/23/1929-Image.html
29-Apr,1998,Nebula N 180B,"N 180B is an active region of star formation in the Large Magellanic Cloud, a dwarf galaxy orbiting our Milky Way. This particular region contains some of the brightest known star clusters. ",https://hubblesite.org/contents/media/images/2006/41/1983-Image.html
30-Apr,2002,Star V838 Monocerotis,"In 2002, a dim star suddenly became 600,000 times more luminous than our Sun, temporarily making it the brightest star in our Milky Way galaxy. This image of V838 Monocerotis captures its ""light echo.""",https://hubblesite.org/contents/media/images/2003/10/1306-Image.html
1-May,2000,Galaxy NGC 3982,"This image captures the face-on spiral galaxy NGC 3982. Its arms are lined with pink star-forming regions of glowing hydrogen, blue newborn star clusters, and dark dust lanes that provide the raw material for future generations of stars.",https://hubblesite.org/contents/media/images/2010/36/2795-Image.html
2-May,2006,Star Cluster M15,"This dense cluster of stars is known as Messier 15 (or M15) and is located about 35,000 light-years away. The fuzzy, blue area to the left of the cluster's core is a planetary nebula, a cloud of gas that has been cast off by a dying, medium-sized star.",https://www.nasa.gov/feature/goddard/2017/messier-15
3-May,2006,Galaxy ESO 239-2,"ESO 239-2 is the result of a cosmic collision between galaxies that will eventually result in a larger ""elliptical"" galaxy. The intermediate stage captured here shows a galaxy with long tails of dust and gas that envelope the galaxy's core.",https://hubblesite.org/contents/media/images/2008/16/2329-Image.html
4-May,2002,Cat's Eye Nebula,"Produced by a dying star, the Cat's Eye Nebula is one of the most complex planetary nebulas known. This image reveals a pattern of concentric rings around the central star. Each ""ring"" is actually the edge of a spherical bubble of material ejected by the star.",https://hubblesite.org/contents/media/images/2004/27/1578-Image.html
5-May,2008,Galactic Center,This infrared image of the center of our Milky Way galaxy reveals a population of massive stars and complex structures in the hot ionized gas that swirls around the galactic core.,https://hubblesite.org/contents/media/images/2009/02/2453-Image.html
6-May,2012,Stars in the Galactic Core,"These colorful stars reside at the heart of our Milky Way galaxy, about 26,000 light-years from Earth. Aging red-giant stars coexist with their more plentiful younger cousins, the smaller, white, Sun-like stars, in this crowded region of our galaxy’s central hub.",https://hubblesite.org/contents/media/images/2018/01/4101-Image.html
7-May,2000,Galaxy NGC 3982,"This image captures the face-on spiral galaxy NGC 3982. Its arms are lined with pink star-forming regions of glowing hydrogen, blue newborn star clusters, and dark dust lanes that provide the raw material for future generations of stars.",https://hubblesite.org/contents/media/images/2010/36/2795-Image.html
8-May,2013,Comet ISON,"At the time Hubble took this image, comet ISON (C/2012 S1) was hurtling toward the Sun at a whopping 48,000 miles per hour. The comet was 403 million miles from Earth, between the orbits of Mars and Jupiter.",https://hubblesite.org/contents/media/images/2013/24/3197-Image.html
9-May,2008,Red Spots on Jupiter,"This image captures three red spots in Jupiter's atmosphere. The famous Great Red Spot appears on the right, while ""Red Spot Jr."" is to the lower left and an even smaller ""baby red spot"" appears at left. ",https://hubblesite.org/contents/media/images/2008/23/2354-Image.html?news=true
10-May,2008,Red Spots on Jupiter,"This image captures three red spots in Jupiter's atmosphere. The famous Great Red Spot appears on the right, while ""Red Spot Jr."" is to the lower left and an even smaller ""baby red spot"" appears at left. ",https://hubblesite.org/contents/media/images/2008/23/2354-Image.html
11-May,2002,Cone Nebula,"This image shows the tip of the Cone Nebula, a star-forming region in the constellation Monoceros. This conical pillar stretches over seven light-years and is just a small portion of a much larger star-formation complex. ",https://hubblesite.org/contents/media/images/2002/13/1200-Image.html
12-May,1999,Star-Forming Region N11B,"This panoramic view captures an iridescent tapestry of star birth, filled with glowing gas, dark dust clouds, and young, hot stars. The star-forming region, cataloged as N11B, lies in a nearby galaxy, the Large Magellanic Cloud.",https://hubblesite.org/contents/media/images/2004/22/1565-Image.html
13-May,2002,Interacting Galaxies IRAS 19297-0406,"This image shows a tumultuous collision between four galaxies located 1 billion light-years from Earth. The tangled-up galaxies, called IRAS 19297-0406, are crammed together in the center of the picture.",https://hubblesite.org/contents/media/images/2002/13/1199-Image.html
14-May,2013,Galaxy Cluster Abell 2744,"Located 3.5 billion light-years away, Abell 2744 contains several hundred galaxies and might be a pile-up of at least four smaller galaxy clusters. Abell 2744’s strong gravitational field acts as a lens, brightening and magnifying the light of nearly 3,000 distant background galaxies.",https://hubblesite.org/image/3868/category/52-frontier-fields
15-May,2008,Red Spots on Jupiter ,"This image captures three red spots in Jupiter's atmosphere. The famous Great Red Spot appears on the right, while ""Red Spot Jr."" is to the lower left and an even smaller ""baby red spot"" appears at left. ",https://hubblesite.org/contents/media/images/2008/27/2373-Image.html
16-May,2006,Hickson Compact Group 90,"These three galaxies, called NGC 7173 (middle left), NGC 7174 (middle right) and NGC 7176 (lower right), are part of Hickson Compact Group 90, named after astronomer Paul Hickson, who cataloged small groups of galaxies like this one.",https://hubblesite.org/contents/media/images/2009/10/2496-Image.html
17-May,2002,Galaxy Cluster RDCS 1252.9-2927,"This image captures a massive cluster of galaxies called RDCS 1252.9-2927. This galaxy cluster existed when the universe was only 5 billion years old, or about 35 percent of its present age. ",https://hubblesite.org/contents/media/images/2004/01/1436-Image.html
18-May,1994,Jupiter ,"Hubble took this image of Jupiter when the giant planet was 420 million miles from Earth. The dark spot that appears on Jupiter is the shadow of the moon Io, which appears to the upper right of the shadow.",https://hubblesite.org/contents/media/images/1994/26/169-Image.html
19-May,2014,Jupiter's Auroras,Hubble used its ultraviolet vision to observe auroras around Jupiter's north pole. Auroras are formed when charged particles in the space around the planet are accelerated along the planet's magnetic field lines and interact with gases in the atmosphere.,https://hubblesite.org/contents/media/images/2016/24/3756-Image.html
20-May,2013,Galaxy Cluster Abell 2744,"Located 3.5 billion light-years away, Abell 2744 contains several hundred galaxies and might be a pile-up of at least four smaller galaxy clusters. Abell 2744’s strong gravitational field acts as a lens, brightening and magnifying the light of nearly 3,000 distant background galaxies.",https://hubblesite.org/image/3868/category/52-frontier-fields
21-May,2000,Nebula NGC 1748,"Extremely intense radiation from newly born, ultra-bright stars has blown a glowing, spherical bubble in the nebula NGC 1748. The average-looking star at the very center of the bubble is about 30 times more massive and almost 200,000 times brighter than our Sun.",https://hubblesite.org/contents/media/images/2001/11/1039-Image.html
22-May,1995,Saturn,This image shows Saturn as the planet's magnificent ring system appeared edge-on to Earth. This alignment occurs about every 15 years when Earth passes through the plane of Saturn's rings. The bright dots to the left of Saturn are some of the planet's moons.,https://hubblesite.org/contents/news-releases/1995/news-1995-25.html
23-May,2013,Galaxy Cluster Abell 2744,"Located 3.5 billion light-years away, Abell 2744 contains several hundred galaxies and might be a pile-up of at least four smaller galaxy clusters. Abell 2744’s strong gravitational field acts as a lens, brightening and magnifying the light of nearly 3,000 distant background galaxies.",https://hubblesite.org/image/3868/category/52-frontier-fields
24-May,2013,Galaxy Cluster Abell 2744,"Located 3.5 billion light-years away, Abell 2744 contains several hundred galaxies and might be a pile-up of at least four smaller galaxy clusters. Abell 2744’s strong gravitational field acts as a lens, brightening and magnifying the light of nearly 3,000 distant background galaxies.",https://hubblesite.org/image/3868/category/52-frontier-fields
25-May,2001,Galaxy NGC 4622,"This image shows the spiral galaxy NGC 4622. Its outer pair of winding arms is full of new stars, clumped together in blue clusters. Strangely, the galaxy appears to be rotating clockwise, the opposite direction to what astronomers expected.",https://hubblesite.org/contents/media/images/2002/03/1137-Image.html
26-May,2003,Galaxy I Zwicky 18,"This image captures the irregular dwarf galaxy I Zwicky 18 and a companion galaxy to its upper right. The two galaxies are interacting, triggering star formation in I Zwicky 18. ",https://hubblesite.org/contents/media/images/2004/35/1621-Image.html
27-May,1998,Galaxy I Zwicky 18,"This image captures the irregular dwarf galaxy I Zwicky 18 and a companion galaxy to its upper right. The two galaxies are interacting, triggering star formation in I Zwicky 18. ",https://hubblesite.org/contents/media/images/2004/35/1621-Image.html
28-May,1998,Galaxy I Zwicky 18,"This image captures the irregular dwarf galaxy I Zwicky 18 and a companion galaxy to its upper right. The two galaxies are interacting, triggering star formation in I Zwicky 18. ",https://hubblesite.org/contents/media/images/2004/35/1621-Image.html
29-May,2003,Galaxy I Zwicky 18,"This image captures the irregular dwarf galaxy I Zwicky 18 and a companion galaxy to its upper right. The two galaxies are interacting, triggering star formation in I Zwicky 18. ",https://hubblesite.org/contents/media/images/2004/35/1621-Image.html
30-May,1999,Swan Nebula,"This image captures a small region within the Swan Nebula, a hotbed of star formation. The wave-like patterns of gas have been sculpted and illuminated by a torrent of ultraviolet radiation from young, massive stars, which lie outside the picture to the upper left. ",https://hubblesite.org/contents/media/images/2003/13/1331-Image.html
31-May,2002,Galaxy NGC 2768,"NGC 2768 is an elliptical galaxy located 65 million light-years away in the constellation Ursa Major. The galaxy hosts a supermassive black hole, fueling jets of material in its active center.",https://hubblesite.org/contents/media/images/2015/28/3615-Image.html
1-Jun,2003,Galaxy I Zwicky 18,"This image captures the irregular dwarf galaxy I Zwicky 18 and a companion galaxy to its upper right. The two galaxies are interacting, triggering star formation in I Zwicky 18. ",https://hubblesite.org/contents/media/images/2004/35/1621-Image.html
2-Jun,2014,Jupiter's Auroras,Hubble used its ultraviolet vision to observe auroras around Jupiter's north pole. Auroras are formed when charged particles in the space around the planet are accelerated along the planet's magnetic field lines and interact with gases in the atmosphere.,https://hubblesite.org/contents/media/images/2016/24/3756-Image.html
3-Jun,2003,Galaxy I Zwicky 18,"This image captures the irregular dwarf galaxy I Zwicky 18 and a companion galaxy to its upper right. The two galaxies are interacting, triggering star formation in I Zwicky 18. ",https://hubblesite.org/contents/media/images/2004/35/1621-Image.html
4-Jun,1994,Quasar 3C 273,"The quasar 3C 273 resides at the heart of a galaxy nearly 2 billion light-years away. A quasar is a brilliant source of energy at the center of a distant galaxy, and is believed to flare up when gas, dust or other material falls onto a supermassive black hole at the galaxy’s core.",https://hubblesite.org/contents/media/images/2003/03/1289-Image.html
5-Jun,2007,Jupiter,"Jupiter's turbulent clouds are always changing as they encounter atmospheric disturbances while sweeping around the planet at hundreds of miles per hour. This image includes a dark, serpent-shaped structure that is actually a small tear in the cloud deck.",https://hubblesite.org/contents/media/images/2007/25/2152-Image.html
6-Jun,2003,Galaxy I Zwicky 18,"This image captures the irregular dwarf galaxy I Zwicky 18 and a companion galaxy to its upper right. The two galaxies are interacting, triggering star formation in I Zwicky 18. ",https://hubblesite.org/contents/media/images/2004/35/1621-Image.html
7-Jun,2010,Jupiter,"Hubble took this image of Jupiter four days after a giant meteor burned up in the planet's cloud tops. Hubble found no sign of dark debris at the site, meaning the meteor did not plunge deep enough into the atmosphere to explode and leave behind any telltale marks.",https://hubblesite.org/contents/media/images/2010/20/2742-Image.html
8-Jun,2003,Sombrero Galaxy,"The Sombrero galaxy's hallmark is a brilliant white core encircled by thick lanes of dust. As seen from Earth, the spiral galaxy is tilted nearly edge-on.",https://hubblesite.org/contents/media/images/2003/28/1415-Image.html
9-Jun,2001,Galaxy NGC 6782,"This spiral galaxy, NGC 6782, exhibits tightly wound spiral arms and a spectacular, nearly circular bright ring surrounding its nucleus. The ring contains many recently formed hot stars.",https://hubblesite.org/contents/media/images/2001/37/1122-Image.html
10-Jun,2006,Galaxy NGC 7674,NGC 7674 is a spiral galaxy tilted nearly face-on to Earth. Faint streamers below and to the left of the galaxy have been created by gravitational interactions with companion galaxies.,https://hubblesite.org/contents/media/images/2008/16/2297-Image.html
11-Jun,1997,Star Cluster Omega Centauri,"This view shows about 50,000 stars at the heart of Omega Centauri, a huge globular star cluster 17,000 light-years from Earth. Omega Centauri is the biggest and brightest globular cluster in the Milky Way, and one of the few that can be seen by the unaided eye.",https://hubblesite.org/contents/media/images/2001/33/1117-Image.html
12-Jun,2002,Galaxy Cluster Abell 1689,"This image shows the inner region of Abell 1689, an immense cluster of galaxies located 2.2 billion light-years away. Astronomers used Hubble to map the distrubition of dark matter in the galaxy cluster.",https://hubblesite.org/contents/media/images/2010/26/2758-Image.html
13-Jun,2005,Star VY Canis Majoris,"The hypergiant star VY Canis Majoris is surrounded by clouds of gas that it has cast off in a long series of outbursts. These eruptions have formed loops, arcs and knots of material moving at various speeds and in many different directions.",https://hubblesite.org/contents/media/images/2007/03/2039-Image.html
14-Jun,2002,Galaxy Cluster Abell 1689,"This image shows the inner region of Abell 1689, an immense cluster of galaxies located 2.2 billion light-years away. Astronomers used Hubble to map the distrubition of dark matter in the galaxy cluster.",https://hubblesite.org/contents/media/images/2010/26/2758-Image.html
15-Jun,1999,Globular Cluster M22,"M22 is one of about 150 globular star clusters in the Milky Way. Located just 10,000 light-years away in the constellation Sagettarius, it is one of the closest globular clusters to Earth.",https://hubblesite.org/contents/media/images/2001/20/1075-Image.html
16-Jun,2002,Galaxy Cluster Abell 1689,"This image shows the inner region of Abell 1689, an immense cluster of galaxies located 2.2 billion light-years away. Astronomers used Hubble to map the distrubition of dark matter in the galaxy cluster.",https://hubblesite.org/contents/media/images/2010/26/2758-Image.html
17-Jun,1999,Stephan's Quintet,"This close-up shows four of the five galaxies that make up Stephan’s Quintet. The image reveals bright, blue clusters of stars, born from the violent interactions between some of the member galaxies.",https://hubblesite.org/contents/media/images/2001/22/1082-Image.html?itemsPerPage=100&page=8&filterUUID=8a87f02e-e18b-4126-8133-2576f4fdc5e2&news=true
18-Jun,1996,Hubble-V Nebula,"Hubble-V is an active star-forming region within galaxy NGC 6822. The cloud is about 200 light-years across and contains a dense knot of dozens of ultra-hot stars, each 100,000 times brighter than our Sun.",https://hubblesite.org/contents/media/images/2001/39/1126-Image.html
19-Jun,,"Interacting Galaxies AM 2026-424
","The colliding galaxies AM 2026-424 resemble a face. Each ""eye"" is the bright core of a galaxy, one of which slammed into another. The outline of the face is a ring of young blue stars. Other clumps of new stars form a nose and mouth. ",https://hubblesite.org/contents/media/images//51/4574-Image
20-Jun,2002,Galaxy Cluster Abell 1689,"This image shows the inner region of Abell 1689, an immense cluster of galaxies located 2.2 billion light-years away. Astronomers used Hubble to map the distrubition of dark matter in the galaxy cluster.",https://hubblesite.org/contents/media/images/2010/26/2758-Image.html
21-Jun,2002,Galaxy Cluster Abell 1689,"This image shows the inner region of Abell 1689, an immense cluster of galaxies located 2.2 billion light-years away. Astronomers used Hubble to map the distrubition of dark matter in the galaxy cluster.",https://hubblesite.org/contents/media/images/2010/26/2758-Image.html
22-Jun,2012,Interacting Galaxies Arp 142,"The interacting galaxy duo near the bottom of this image is Arp 142. The pair contains the disturbed, star-forming spiral galaxy NGC 2936 along with its elliptical companion NGC 2937 at lower left. Above them is an unrelated, bluish galaxy called UGC 5130.",https://hubblesite.org/contents/media/images/2013/23/3195-Image.html
23-Jun,2004,Galaxies in the Groth Strip,"This field of galaxies is just a small part of a cosmic tapestry Hubble imaged as part of the All-wavelength Extended Groth Strip International Survey. In it are galaxies of all shapes, sizes, colors, and distances. Larger ones are nearby, while the smallest ones are far away.",https://hubblesite.org/contents/media/images/2007/06/2046-Image.html
24-Jun,2002,Supernova 2002dd,"This image captures a stellar explosion called a supernova in a small part of the sky known as the Hubble Deep Field. The supernova, designated SN 2002dd, appears as a red dot near the center of the image. ",https://hubblesite.org/contents/media/images/2003/12/1327-Image.html
25-Jun,2011,Neptune,Neptune is the most distant major planet in our solar system. This image reveals high-altitude clouds in the northern and southern hemispheres of the planet. These clouds are composed of methane ice crystals.,https://hubblesite.org/contents/media/images/2011/19/2860-Image.html
26-Jun,2000,Seyfert's Sextet,"At first, Seyfert's Sextet looks like six galaxies grouped closely together. However, the small galaxy with the prominent spiral arms (right of center) is much farther away than the others, and a bright clump to the lower right is material torn from one of the other galaxies.",https://hubblesite.org/contents/media/images/2002/22/1242-Image.html
27-Jun,2002,Galaxy Cluster RDCS 1252.9-2927,"This image captures the massive galaxy clutser RDCS 1252.9-2927. The galaxies in the cluster already existed when the universe was just 5 billion years old, or about 35 percent of its present age. ",https://hubblesite.org/contents/media/images/2004/01/1433-Image.html
28-Jun,2005,Quasar MC2 1635+119,This image shows shells of stars around a quasar known as MC2 1635+119. Quasars are among the brightest objects in the universe. They reside in the centers of galaxies and are powered by supermassive black holes. ,https://hubblesite.org/contents/news-releases/2007/news-2007-39.html
29-Jun,2012,Pluto System,"This image captures Pluto and its five moons. Pluto is the large dot at the center. Its largest moon, Charon, appears below Pluto. Moving clockwise from the left, the smaller moons are Hydra, Styx, Nyx and Kerberos. ",https://hubblesite.org/contents/media/images/2012/32/3083-Image.html
30-Jun,1998,Ant Nebula,The Ant Nebula displays intriguing symmetrical patterns in the lobes of gas being ejected from a dying Sun-like star at its center.,https://hubblesite.org/contents/media/images/2001/05/1020-Image.html
1-Jul,1993,Comet Shoemaker-Levy 9 Fragments,"This image captures the brightest ""nucleus"" in a string of approximately 20 that comprised the broken-up comet Shoemaker-Levy 9. The image reveals that the bright segment is actually a group of at least four separate pieces.",https://hubblesite.org/contents/media/images/1993/22/117-Image.html
2-Jul,2011,Necklace Nebula,"The Necklace Nebula contains the glowing remains of an ordinary, Sun-like star shedding material at the end of its life. The nebula consists of a bright ring, measuring 12 trillion miles across, dotted with dense, bright knots of gas that resemble diamonds in a necklace.",https://hubblesite.org/contents/media/images/2011/24/2886-Image.html
3-Jul,1999,Star Cluster 47 Tucanae,"This image shows the core of the globular star cluster 47 Tucanae. The entire cluster contains about a million stars, with many packed tightly in the core.",https://hubblesite.org/contents/media/images/2006/33/1951-Image.html
4-Jul,2002,Carina Nebula,"This close-up view shows only a three-light-year-wide portion of the entire Carina Nebula, which has a diameter of over 200 light-years. Located 8,000 light-years from Earth, the nebula can be seen in the southern sky with the naked eye.",https://hubblesite.org/contents/media/images/2003/31/1424-Image.html
5-Jul,2001,Trifid Nebula,"The Trifid Nebula is a stellar nursery criss-crossed by huge, dark lanes of dust. This image provides a close-up view of the center of the nebula, near the intersection of the dust bands, and a group of recently formed, massive, bright stars.",https://hubblesite.org/contents/media/images/2004/17/1542-Image.html
6-Jul,2012,Planetary Nebula NGC 5189,"The  knotty, filamentary structure of NGC 5189 formed as a dying star shed its outer layers. Interestingly, this planetary nebula has two nested structures tilted with respect to each other.",https://hubblesite.org/contents/media/images/2012/49/3124-Image.html
7-Jul,2010,Galaxy Cluster Abell 1689,"This image shows the center of Abell 1689, an immense cluster of galaxies located 2.2 billion light-years away. Astronomers used Hubble to map the distrubition of dark matter in the galaxy cluster.",https://hubblesite.org/contents/media/images/2013/36/3238-Image.html
8-Jul,2008,Jupiter's Spots,"This image provides a close look at Jupiter's famous Great Red Spot and a smaller storm dubbed ""Red Spot Jr."" below it. To the right of the Great Red Spot is the remnant of an even smaller spot that has faded and is being consumed by the much larger storm.",https://hubblesite.org/contents/media/images/2008/27/2370-Image.html
9-Jul,2001,Hoag's Object,"A nearly perfect ring of hot, blue stars pinwheels about the yellow nucleus of an unusual galaxy known as Hoag's Object. Curiously, a background object that bears an uncanny resemblance to Hoag's Object can be seen in the gap at the one o'clock position.",https://hubblesite.org/contents/media/images/2002/21/1241-Image.html
10-Jul,2004,Galaxy NGC 4068,This image captures a starburst region in the dwarf galaxy NGC 4068. Starburst regions are areas of intense star formation. ,https://hubblesite.org/contents/media/images/2009/19/2556-Image.html
11-Jul,2000,Interacting Galaxies UGC 06471 and UGC 06472,"This image shows a cosmic collision between two galaxies, UGC 06471 and UGC 06472. The colliding galaxies are 145 million light-years from Earth. Such collisions distort the shapes of the galaxies as they merge and eventually form a larger galaxy.",https://hubblesite.org/contents/media/images/2001/04/1019-Image.html?news=true
12-Jul,2002,Galaxy Cluster TN J1338-1942,"The galaxy cluster TN J1338-1942 contains a massive embryonic galaxy surrounded by smaller developing galaxies. The central galaxy has spectacular radio-emitting jets, fueled by a supermassive black hole deep within the galaxy's nucleus.",https://hubblesite.org/contents/news-releases/2004/news-2004-01.html
13-Jul,2004,Star Cluster NGC 346,This image captures a dynamic star-forming region in a nearby dwarf galaxy called the Small Magellanic Cloud. At the center is a brilliant star cluster called NGC 346.,https://hubblesite.org/contents/media/images/2005/35/1818-Image.html
14-Jul,2000,Supernova Remnant N 49,N 49 is a supernova remnant in a neighboring galaxy called the Large Magellanic Cloud. The delicate filaments are sheets of debris from a stellar explosion whose light would have reached Earth thousands of years ago. ,https://hubblesite.org/contents/media/images/2003/20/1379-Image.html
15-Jul,2009,Core of Star Cluster Omega Centauri,"This view shows stars at the heart of Omega Centauri, one of roughly 150 globular clusters in our Milky Way galaxy. The behemoth stellar grouping is the biggest and brightest globular cluster in the Milky Way, and one of the few that can be seen by the unaided eye.",https://hubblesite.org/contents/media/images/2009/25/2609-Image.html
16-Jul,2006,Galaxy ESO 239-2,"ESO 239-2 is the result of a cosmic collision between galaxies that will eventually result in a larger ""elliptical"" galaxy. The intermediate stage captured here shows a galaxy with long tails of dust and gas that envelope the galaxy's core.",https://hubblesite.org/contents/media/images/2008/16/2329-Image.html
17-Jul,2002,Galaxy NGC 300,"NGC 300 is a spiral galaxy similar to our own Milky Way galaxy. Some of the bright blue specks in this image are young, massive stars called blue supergiants, and they are among the brightest stars seen in spiral galaxies.",https://hubblesite.org/contents/media/images/2004/13/1509-Image.html
18-Jul,1997,Interacting Galaxies AM 1316-241,AM 1316-241 is made up of two interacting galaxies: a spiral galaxy (on the left) in front of an elliptical galaxy (on the right). The starlight from the background elliptical galaxy is partially obscured by bands and filaments of dust in the foreground spiral galaxy. ,https://hubblesite.org/contents/media/images/2008/16/2305-Image.html
19-Jul,2002,Galaxy NGC 300,"NGC 300 is a spiral galaxy similar to our own Milky Way galaxy. Some of the bright blue specks in this image are young, massive stars called blue supergiants, and they are among the brightest stars seen in spiral galaxies.",https://hubblesite.org/contents/media/images/2004/13/1509-Image.html
20-Jul,1997,Ant Nebula,The Ant Nebula displays intriguing symmetrical patterns in the lobes of gas being ejected from a dying Sun-like star at its center.,https://hubblesite.org/contents/media/images/2001/05/1020-Image.html
21-Jul,2004,Antennae Galaxies,"The two merging spiral galaxies that comprise the Antennae galaxies began their interaction only a few hundred million years ago. Over the course of the merger, billions of stars will be formed. ",https://hubblesite.org/contents/media/images/2006/46/1995-Image.html
22-Jul,2006,Protostar IRAS 20324+4057,"This caterpillar-shaped knot, called IRAS 20324+4057, is a protostar that is in the process of growing from the dust and gas surrounding it. However, other bright stars are blasting ultraviolet radiation at this ""wanna-be"" star and sculpting the gas and dust into its long shape.",https://hubblesite.org/contents/media/images/2013/35/3233-Image.html
23-Jul,2009,Impact Scar on Jupiter,"This image of Jupiter reveals an elongated, dark spot at lower right. The unexpected blemish was created when an asteroid plunged into Jupiter and exploded, scattering debris into the giant planet's cloud tops.",https://hubblesite.org/contents/news-releases/2010/news-2010-16.html
24-Jul,1996,Jupiter and Io,This image shows Jupiter's volcanic moon Io passing above the turbulent clouds of the giant planet. The conspicuous black spot on Jupiter is Io's shadow. The shadow sweeps across the face of Jupiter at 17 kilometers per second.,https://hubblesite.org/contents/media/images/1996/30/442-Image.html
25-Jul,1999,Hickson Compact Group 87,"This troupe of galaxies, known as Hickson Compact Group 87, is performing an intricate dance orchestrated by the mutual gravitational forces acting between them. The small spiral near the center could either be a member or an unrelated background object.",https://hubblesite.org/contents/media/images/1999/31/868-Image.html
26-Jul,2010,Andromeda Galaxy,"Over 100 million stars are on display in this portion of the Andromeda galaxy, located over 2 million light-years away. This portrait of our galactic neighbor is the largest image yet assembled by Hubble.",https://hubblesite.org/contents/news-releases/2015/news-2015-02.html
27-Jul,2010,Andromeda Galaxy,"Over 100 million stars are on display in this portion of the Andromeda galaxy, located over 2 million light-years away. This portrait of our galactic neighbor is the largest image yet assembled by Hubble.",https://hubblesite.org/contents/news-releases/2015/news-2015-02.html
28-Jul,2017,Triangulum Galaxy,"This mosaic captures the nearby Triangulum galaxy. Striking areas of star birth glow bright blue throughout the galaxy, particularly in beautiful nebulas of hot gas like star-forming region NGC 604 in the upper left.",https://hubblesite.org/contents/media/images//01/4305-Image.html
29-Jul,2006,Star Cluster Trumpler 14,"Called Trumpler 14, this cluster of stars is located 8,000 light-years away in a huge star-forming region known as the Carina Nebula. The cluster is only 500,000 years old and has one of the highest concentrations of bright, massive stars in the entire Milky Way.",https://hubblesite.org/contents/media/images/2016/03/3693-Image.html
30-Jul,1995,Hourglass Nebula,The Hourglass Nebula has been formed by a dying Sun-like star shedding its outer layers of gas. One theory suggests that the hourglass shape is produced as a fast stellar wind encounters a slowly expanding cloud that is more dense near the star’s equator than near its poles.,https://hubblesite.org/contents/media/images/1996/07/397-Image.html
31-Jul,2017,Triangulum Galaxy,"This mosaic captures the nearby Triangulum galaxy. Striking areas of star birth glow bright blue throughout the galaxy, particularly in beautiful nebulas of hot gas like star-forming region NGC 604 in the upper left.",https://hubblesite.org/contents/media/images//01/4305-Image.html
1-Aug,2005,Galaxy NGC 1672,"NGC 1672 is a barred spiral galaxy. Its arms do not twist all the way to the galaxy's center but attach to the ends of a bar of stars that extends from the nucleus. Clusters of hot, young, blue stars form along the spiral arms, while surrounding clouds of hydrogen gas glow red. ",https://hubblesite.org/contents/media/images/2007/15/2092-Image.html
2-Aug,1997,Hubble-V Nebula,"Hubble-V is an active star-forming region within galaxy NGC 6822. The cloud is about 200 light-years across and contains a dense knot of dozens of ultra-hot stars, each 100,000 times brighter than our Sun.",https://hubblesite.org/contents/media/images/2001/39/1126-Image.html
3-Aug,2009,Impact Scar on Jupiter,"This image shows a scar on Jupiter. The unexpected blemish was created when an object (likely an asteroid) plunged into Jupiter and exploded, scattering debris into the giant planet's cloud tops.",https://hubblesite.org/contents/news-releases/2010/news-2010-16.html
4-Aug,2001,Herbig-Haro 24,"A partially obscured, newborn star near the center of this image is shooting twin jets into the surrounding gas and dust. The shocks from the collision light up patches of nebulosity collectively called Herbig-Haro 24.",https://hubblesite.org/contents/media/images/2015/42/3656-Image.html
